subject,appearance
Bump sass-loader from 9.0.2 to 9.0.3,12
Bump capybara from 2.16.1 to 2.17.0,12
2011-02-09  Martin Robinson  <mrobinson@igalia.com>,12
Merge branch 'master' of github.com:camunda/camunda-bpm-platform,12
"Revert ""Follow up on r43982. Reduce dirname(__FILE__) calls in core and extensions.""",12
Bump pytest from 5.0.1 to 5.1.0,12
Bump webpack-cli from 3.3.5 to 3.3.6,12
Bump whenever from 0.11.0 to 1.0.0,12
Bump autoprefixer from 9.7.0 to 9.7.1,12
Update tools/jmx submodule,12
Bump FodyPackaging from 3.3.5 to 4.0.0,12
Unit tests,12
Translated using Weblate (Berber),12
Added docstring [skip CI],12
chore(deps-dev): bump prettier from 2.1.0 to 2.1.1,12
Merge branch 'feature-2.0' into feature-2.0-semianalytic-solver,12
Merge remote-tracking branch 'origin/2.0.1',12
Merge branch 'timers-for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/tip/linux-2.6-tip,12
Bump react from 16.11.0 to 16.12.0,12
updating gems,12
Merge branch 'master' into ebr_from_gmfs,12
Bump coverlet.msbuild from 2.6.3 to 2.7.0,12
"Fix to use ""."" to source script files",12
Merge branch 'pci/hotplug',12
Update batch_processing.sh,12
Remove unused field,12
Bump terser-webpack-plugin in /server/src/main/webapp/WEB-INF/rails,12
Bug 53042 - Introduce a new Interface to be implemented by AbstractSampler to allow Sampler to decide wether a config element applies to Sampler,12
Merge commit 'djpig/djpig' into merge,12
axasuhd: update bsp,12
l10n: Updated Ukrainian (uk) translation to 99%,12
Bump FodyPackaging from 5.0.0 to 5.0.1,12
Merge branch 'develop' of bitbucket.org:rockettheme/grav-plugin-admin into develop,12
luci-base: Update Spanish translation,12
Bump capybara from 3.16.0 to 3.16.1,12
chore(deps-dev): bump eslint from 7.1.0 to 7.2.0,12
2008-03-17  Tim Waugh  <twaugh@redhat.com>,12
Merge mysql.com:/home/kent/bk/tmp/mysql-5.0-build into  mysql.com:/home/kent/bk/tmp/mysql-5.1-build,12
Fix some warnings,12
Bump redcarpet from 3.4.0 to 3.5.0,12
docs: update documentation,12
Bump rubocop from 0.68.0 to 0.68.1,12
Added Rubocop RSpec gem.,12
openquake.cfg:,12
Merge branch 'master' into grid,12
Merge branch 'java8',12
Small fixes and improvements,12
2001-08-29  Lutz M�ller <urc8@rz.uni-karlsruhe.de>,12
I18n: Update translation fi (96%).,12
Bump Verify.Xunit from 8.13.0 to 8.14.0,12
Merge branch 'master' of ssh://master.kernel.org/pub/scm/linux/kernel/git/mchehab/v4l-dvb,12
Bump logging-interceptor in /callbacks/maoni-doorbell,12
Bump sphinx from 2.1.2 to 2.2.0,12
Bump gds-api-adapters from 53.1.0 to 53.2.0,12
Updated changelog [skip hazardlib],12
Bump maven-project-info-reports-plugin from 3.0.0 to 3.1.0,12
Delete dead code,12
Bump coveralls from 0.8.22 to 0.8.23,12
Merge airlied/drm-next into drm-misc-next,12
Coverity: Initialize a member variable.,12
2010-06-16  Adam Barth  <abarth@webkit.org>,12
Removes unnecessary utf-8 encoding,12
delta factor script,12
        Reviewed by Timothy.,12
Merge branch 'master' into release.3.0,12
Merge remote-tracking branch 'origin/5.x' into AP-282-lowlvl,12
Bump eslint from 5.14.1 to 5.15.0,12
Pontoon: Update Portuguese (Portugal) (pt-PT) localization of AMO Frontend,12
Merge git://git.denx.de/u-boot-marvell,12
Changes after review.,12
[BUGFIX] Adjust code migration identifier pattern to contain the full timestamp,12
Fixed scenario_damage,12
Bump @types/node from 14.0.22 to 14.0.23,12
Merge branch 'develop' of github.com:openlattice/conductor-client into develop,12
Update version,12
build(deps): bump scratch-vm,12
Bump eslint-config-prettier from 6.3.0 to 6.4.0,12
"Fixing ""Fore"" -> ""For"" typo in README docs. (#4317)",12
firewall: update to git head,12
Added dorks to multiple plugins,12
Bump Fody from 5.0.0 to 5.0.1,12
New file.,12
chore(release): 1.3.0 [skip ci],12
Docs: Fix bugs in HAL Manual (4-lang),12
Implementing pitch interpretation.,12
Update pytdlpack.py,12
"Bump size-limit, @size-limit/preset-small-lib and @size-limit/webpack",12
2011-03-29  Eric Seidel  <eric@webkit.org>,12
Bump bootstrap-sass from 3.3.7 to 3.4.1,12
Bump rails from 6.0.3 to 6.0.3.1,12
Merge remote-tracking branch 'origin/dev-v7' into dev-v7.7,12
Bump exec-maven-plugin from 1.6.0 to 3.0.0,12
I18n: Update translation ast (92%).,12
Add missing copyright headers,12
2006-11-05 Erik Hjortsberg  <erik@katastrof.nu>,12
merge with default,12
Bump google-api-services-calendar,12
Remove unused function.,12
2009-11-20  Adam Barth  <abarth@webkit.org>,12
Merge branch 'perfcounters-fixes-for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/tip/linux-2.6-tip,12
"Marking all remaining versions as ""dev"". (#4299)",12
Bump Verify.Xunit from 1.28.2 to 1.28.3,12
Refactored RSpec temporary directory shared context,12
Added Basque translation. Added 'eu' to DOC_LINGUAS.,12
Bump mypy from 0.761 to 0.770,12
l10n: Updated Croatian (hr) translation to 80%,12
Merge branch '2.5' into 3.0,12
PR Feedback:,12
OAK-781: Clarify / fix effects of MISSING_NODE as base state of NodeBuilder,12
Bump bootstrap from 4.4.1 to 4.5.0,12
Fix formatting,12
WIP : Concurrency,12
Instruct the CI config file to inst missing deps.,12
Documentation: update french translation of user-manual,12
Bump gds-sso from 14.1.1 to 14.2.0,12
Fixed unit tests,12
Bump dotenv-rails from 2.7.1 to 2.7.2,12
2008-10-31  Cameron Zwarich  <zwarich@apple.com>,12
Backport:,12
Merge branch 'master' of https://github.com/TelefonicaED/liferaylms-portlet,12
Move other-requirements.txt to bindep.txt,12
Merge pull request #74153 from ixdy/bazel-kubernetes-src-tarball-new,12
Updated polish translation,12
OAK-2261 - Enable support for NodeType based indexing rules (WIP),12
Removed unused files,12
Merge pull request #59842 from ixdy/update-rules_go-02-2018,12
Bump Verify.Xunit from 6.13.0 to 6.14.1,12
2010-02-02  Kwang Yul Seo  <skyul@company100.net>,12
chore(deps-dev): bump eslint-plugin-prettier from 3.1.4 to 3.2.0,12
Migrate PolicyMap::Set to use base::Value,12
I18n: Update translation sl (99%).,12
Bump gds-api-adapters from 51.1.0 to 51.1.1,12
Bump husky from 4.2.1 to 4.2.3,12
Bump Verify.Xunit from 5.1.0 to 6.0.0,12
update READMEs,12
Merge remote-tracking branch 'origin/3.0' into 3.0,12
git subrepo pull gherkin/javascript,12
Replace assertTrue(isinstance()) with assertIsInstance(),12
Merge branch 'master' into manage_members,12
Version 3.1.2 ,12
Remove trailing whitespace.,12
Php Inspections (EA Extended) - static code analysis includes:,12
Fix dependencies,12
Update FAQ.md,12
Fixed bug,12
chore(deps-dev): bump @babel/core from 7.10.2 to 7.10.3,12
        Reviewed by Chris Blumenberg.,12
Switch to using stestr,12
3rdparty/libgfxinit: Update submodule pointer,12
Merge branch 'acceptance' into development,12
fix instances of bugprone-argument-comment,12
Fixed scenario_damage tests,12
[Security] Bump https-proxy-agent from 2.2.1 to 2.2.4,12
"Migrate from assertThat(foo).named(""foo"") to assertWithMessage(""foo"").that(foo).",12
Bump ts-node in /server/src/main/webapp/WEB-INF/rails,12
Merge git://git.kernel.org/pub/scm/linux/kernel/git/paulus/powerpc,12
Bump uglifier from 4.1.15 to 4.1.17,12
IDEA-92825 Allow choosing variations of fonts,12
INDY-1565: Throughput measurement tests,12
Triage some more tests.,12
"Bug 1303510 - Change the copyright on all the Windows drivers to ""2017"" in virtio-win-prewhql build",12
Update utils.js,12
Bump typescript from 3.7.5 to 3.8.2,12
bump fly testflight,12
Updated Drive.php,12
Changed weight [skip hazardlib],12
Merge from Samba 3.0:,12
Bump govuk_app_config from 2.1.0 to 2.1.1,12
chore(deps-dev): bump @babel/core from 7.12.9 to 7.12.10,12
Cleanup code,12
Reduce camd35/cccam cacheex code differences.,12
Bump capybara from 3.19.0 to 3.19.1,12
Bump httpclient from 4.5.10 to 4.5.11,12
Port branch-5-1 modifications into trunk.,12
Merge branch 'master' into gmfgetter,12
Merge branch 'ras-urgent-for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/tip/tip,12
Bump selenium-webdriver from 3.142.3 to 3.142.4,12
Bump gds-api-adapters from 51.1.1 to 51.2.0,12
git subrepo clone --branch=master --force https://github.com/gonetz/GLideN64.git mupen64plus-video-gliden64/upstream,12
Merge branch 'master' into nastasi-oq_test-pkg,12
Merge branch 'stmmac-fixes',12
Fix common misspellings,12
Bump autoprefixer from 9.5.0 to 9.5.1,12
Add missing license headers,12
Core/Misc: Fix some static analysis issues,12
Added forgotten files [skip hazardlib],12
Bump capybara from 3.16.1 to 3.16.2,12
Bump psycopg2-binary from 2.8.5 to 2.8.6,12
OAK-4400 - Correlate index with the index definition used to build it,12
Merge branch 'develop' of gitlab.abinit.org:trunk/abinit into abilint,12
Merge branch '1.9.4' into 1.10.2,12
Merge branch 'master' into MathContainer,12
Bump versions by x.y.(z+1),12
"l10n: New Serbian translation, author salepetronije",12
Bump maven-assembly-plugin from 3.2.0 to 3.3.0,12
TLP related blanket changes:,12
Merge remote branch 'stew/contents' into merge,12
Merge branch 'upstream/dev' into dev,12
2010-07-21  Adam Barth  <abarth@webkit.org>,12
I18n: Update translation ko (99%).,12
Pontoon: Update Chinese (China) (zh-CN) localization of AMO Frontend,12
chore(deps-dev): bump eslint from 6.5.0 to 6.5.1,12
Bump @babel/core in /server/src/main/webapp/WEB-INF/rails,12
Whitespace cleanup,12
whitespace,12
OAK-633: SegmentMK: Hierarchy of journals,12
Fix Travis build,12
chore(deps-dev): bump eslint-config-prettier from 6.11.0 to 6.12.0,12
Quality of Life,12
Merge mysql.com:/home/jimw/my/mysql-5.0-clean into  mysql.com:/home/jimw/my/mysql-5.1-clean,12
I18n: Update translation ast (96%).,12
Blink gardening: updated expectations,12
Bump capybara from 3.19.1 to 3.20.0,12
Oops,12
more fixes,12
Bump webpack from 4.41.2 to 4.41.3,12
 Code cleanup,12
Bump eslint from 5.9.0 to 5.10.0,12
Related to JIRA PM-126,12
[flang] address review comments,12
Bump puma from 4.3.4 to 4.3.5,12
Translated using Weblate (Nepali),12
fix oss build,12
Fix compiler warnings:,12
chore(release): 2.1.2 [skip ci],12
2006-09-21 Erik Hjortsberg  <erik@katastrof.nu>,12
Core/NetworkIO: Adjust more packet throttling values,12
Merge branch 'x86-vdso-for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/tip/tip,12
[Security] Bump json from 2.2.0 to 2.3.0,12
Merge branch 'master' into ebrisk2,12
Minor refactoring.,12
Bump mock from 4.0.2 to 4.0.3,12
Merge branch '5.3' into 5.4,12
Merge branch 'claire-linedetection' of robojackets.org:igvc/software into claire-linedetection,12
2009-11-09  Yaar Schnitman  <yaar@chromium.org>,12
Translated using Weblate (English (Australia)),12
Coverity: Pass parameters by reference.,12
celeryconfig:,12
Bump faker from 2.9.0 to 2.10.0,12
Merge branch 'master' into ucerf_classical_1,12
Translation updated by Daniel van Eeden.,12
Silence compiler warning,12
Bump rubocop from 0.75.0 to 0.75.1,12
chore(deps-dev): bump typescript from 3.9.5 to 3.9.6,12
chore(deps-dev): bump eslint-config-prettier from 6.9.0 to 6.10.0,12
camd35: Prepare cacheex code for moving into separate file.,12
pep8 cleanup,12
I18n: Update translation is (77%).,12
Bump jacoco-maven-plugin from 0.8.1 to 0.8.2,12
Add copyright notices and licensing boilerplate,12
Landing Recent QUIC Changes.,12
linux-linaro-qcomlt: upgrade kernel,12
Build(deps-dev): Update pepakriz/phpstan-exception-rules requirement,12
2001-10-17  Lutz M�ller <urc8@rz.uni-karlsruhe.de>,12
Fixes based on review,12
Fixed expected file,12
Merge branch '1.5.2-SNAPSHOT' into 1.6.1-SNAPSHOT,12
build(deps-dev): bump eslint-plugin-import from 2.22.0 to 2.22.1,12
2009-01-28  Al Riddoch  <alriddoch@googlemail.com>,12
Bump jackson-databind from 2.9.10.3 to 2.9.10.4,12
Merge branch 'x86/urgent' of git://git.kernel.org/pub/scm/linux/kernel/git/tip/tip,12
Merge branch 'master' into refactoring,12
Merge branch 'master' of github.com:gem/oq-engine into dump_hazards,12
Fix file permissions,12
Merge branch 'develop' into feature/distil,12
Address review feedback.,12
Merge branch 'master' into v4,12
Merge branch 'master' of https://github.com/jeremygray/psychopy,12
Renamed:,12
Added Rubocop Style/SignalException cop style.,12
Merge branch 'master' into glyssen-engine-migration-12-intermediate-staging,12
Bump jest from 25.2.7 to 25.3.0,12
various updates,12
Bump @typescript-eslint/eslint-plugin from 2.26.0 to 2.27.0,12
Merge branch 'develop' into feature_backendRefactoring,12
Bump webpack from 4.43.0 to 4.44.1,12
XSTOUCAN-1: Create Toucan skin from xwiki.org,12
Merged from master [skip hazardlib][demos],12
qa_tests/hazard/disagg/case_1:,12
Bump @typescript-eslint/eslint-plugin from 2.28.0 to 2.29.0,12
2008-10-10  David Hyatt  <hyatt@apple.com>,12
post browser stuff,12
Remove Python 2.6 classifier,12
chore(deps-dev): bump eslint from 6.4.0 to 6.5.0,12
2009-07-16  Maxime Simon  <simon.maxime@gmail.com>,12
Bump @babel/preset-env from 7.9.6 to 7.10.2,12
OAK-6210 - Provide a consistent and extensible way to handle oak-run options while creating NodeStore,12
refs #425,12
Bug#31177: Server variables can't be set to their current values,12
Pontoon: Update Kabyle (kab) localization of AMO,12
Unused,12
Merge branch 'master' into electronic_structure,12
Merge branch 'master' of github.com:beatfactor/nightwatch,12
tabSRMM:,12
Bump loofah from 2.3.0 to 2.3.1,12
Bump file-loader from 5.1.0 to 6.0.0,12
Bump Verify.Xunit from 6.8.0 to 6.9.0,12
Merge branch 'disagg-bb-test' of github.com:larsbutler/openquake into disagg-bb-test,12
Merge branch '2.0' into 2.0-request,12
JCR-1588: Access Control,12
Documentation cleanup,12
"Fixing references to ""dead"" docs links. (#3631)",12
Merge bodhi.(none):/opt/local/work/mysql-5.0-runtime into  bodhi.(none):/opt/local/work/mysql-5.1-runtime,12
chore(deps-dev): bump typescript from 3.7.4 to 3.7.5,12
I18n: Update translation cs (98%).,12
Unify test classes to use PageTestBase,12
Merge branch '1.3' into 2.0,12
first implementation,12
Bump rubocop-govuk from 3.0.0 to 3.1.0,12
small fix,12
Bump @babel/core from 7.6.2 to 7.6.4,12
Bump fork-ts-checker-webpack-plugin,12
Merge remote-tracking branch 'upstream/develop' into timeline-event-mgr,12
Hungarian translation updated by Gabor Kelemen.,12
Fix the Windows build.,12
Merge git://git.kernel.org/pub/scm/linux/kernel/git/hskinnemoen/avr32-2.6,12
Sync with manager,12
Updated a docstring [skip CI],12
Merge branch 'surface' of https://github.com/materialsproject/pymatgen into surface,12
Bump @typescript-eslint/parser from 2.27.0 to 2.28.0,12
RIVER-301: Move the tests into the JUnit framework inside the main source project,12
Bump mocha from 7.0.0 to 7.0.1,12
Bump uglifier from 4.1.4 to 4.1.5,12
Fixed scenario tests,12
[NQP Bump] Brings 5 commits,12
Bump Verify.Xunit from 1.3.0 to 1.3.1,12
Merge branch 'master' into 3.2-worldviews,12
Proofed (Light),12
Bump @babel/core from 7.12.7 to 7.12.8,12
Merge branch 'master' into CURATOR-3.0,12
Bump css-loader from 3.6.0 to 4.0.0,12
Merge branch 'master' into test,12
2011-06-27  Adam Barth  <abarth@webkit.org>,12
Bump jest from 25.3.0 to 25.4.0,12
init,12
[PHP]: Update rector/rector requirement in /vendor-bin/phpstan,12
More doc updates.,12
Merge remote-tracking branch 'github/master',12
MWL#89: Cost-based choice between Materialization and IN->EXISTS transformation,12
Bump @babel/core from 7.9.6 to 7.10.2,12
Fixed weight [skip hazardlib],12
Bump autoprefixer from 9.8.0 to 9.8.2,12
refs #446,12
Manor Tab Overhaul,12
WL#5223: Binary Log Group Commit,12
Bump css-loader from 2.1.1 to 3.0.0,12
More misc. cleanup:,12
Bump karma from 5.0.4 to 5.0.5,12
Fix NPE,12
Bump gds-sso from 15.1.0 to 16.0.0,12
Roll src/ios/third_party/material_roboto_font_loader_ios/src/ bc63eabbb..4aa51e906 (0 commit),12
Fix compile error,12
Merge branch '3.3',12
chore(deps-dev): bump typescript from 4.1.2 to 4.1.3,12
TASK: Merge branch '3.3' into 4.0,12
Bump Verify.Xunit from 1.7.0 to 1.8.0,12
[Security] Bump fstream from 1.0.11 to 1.0.12,12
doc: add tested Intel platforms with Intel NICs,12
Shrink images using trimage,12
opcodes/,12
Open Liberty development,12
Merge mysql.com:/d2/hf/mrg/mysql-5.0-opt into  mysql.com:/d2/hf/mrg/mysql-5.1-opt,12
Removed a comment [skip CI],12
Update to latest parent,12
build(deps-dev): bump husky from 4.2.5 to 4.3.0,12
Bump XunitContext from 1.5.1 to 1.5.2,12
Merge branch 'master' into pv-mutations-tab,12
I18n: Update translation ast (98%).,12
Merge branch 'master' of git://1984.lsi.us.es/nf-next,12
Update buildpack-deps,12
error parsers,12
Update license attribute,12
[maint] Bumping framework.,12
base::Bind fixes,12
Bump prettier from 1.16.4 to 1.17.0,12
Fixed a couple of tests,12
Bump webpack from 4.35.0 to 4.35.2,12
Merge branch 'bjorn/cuddle-with-tests',12
Bump rubyzip from 1.2.2 to 2.0.0,12
Merge remote-tracking branch 'origin/2.0',12
Sonar : Fix code smells Use Java8 lambda,12
refs #426,12
Android: Update Android Studio canary version,12
Bump slf4j-api from 1.7.25 to 1.7.26,12
Updating author_email in all setup.py. (#3598),12
Update perf expectations,12
chore(deps): [security] bump acorn from 5.7.3 to 5.7.4,12
Update tensorflow/python/ops/image_ops_impl.py,12
fixup! Convert flashrom to git,12
Merge branch 'master' of github.com:nficano/python-lambda,12
Pontoon: Update Hebrew (he) localization of AMO,12
2011-01-01  Adam Barth  <abarth@webkit.org>,12
Update version for Liberty,12
build(deps-dev): bump eslint from 7.11.0 to 7.12.0,12
Core/Movement,12
Bump turbolinks from 5.2.0 to 5.2.1,12
Bump ember-cli-babel from 7.18.0 to 7.19.0,12
Updated Finnish translation.,12
Fixed Pylint/PEP8 issues,12
Pontoon: Update Portuguese (pt-PT) localization of AMO,12
Bump capybara from 3.5.1 to 3.6.0,12
Bump @babel/core from 7.6.4 to 7.7.0,12
luci-app-adblock: Update Japanese translation,12
Update _opposite_sex.erb,12
Bugfix: added missing `#include` lines.,12
Update chocolateyInstall.ps1,12
Bump FodyPackaging from 6.0.8 to 6.1.0,12
Bug fixes:,12
Bump Verify.Xunit from 6.7.0 to 6.8.0,12
Update VS property sheets,12
Translated using Weblate (Frisian),12
2009-12-08  Nikolas Zimmermann  <nzimmermann@rim.com>,12
Bump ember-cli-babel from 7.22.1 to 7.23.0,12
test times,12
Bump sass-loader from 7.2.0 to 7.3.1,12
OAK-104: HTTP bindings for Oak,12
Updating dependency github.com/pkg/errors to version v0.9.1,12
Updated comment [skip CI],12
chore(deps-dev): bump eslint-config-prettier from 6.10.1 to 6.11.0,12
Bump mypy from 0.780 to 0.781,12
Merge branch 'master' into refactor,12
l10n: Updated Croatian (hr) translation to 100%,12
update TODO,12
Update zh-Hans.xml,12
Bump commons-codec from 1.14 to 1.15,12
Sync gettextutils from oslo,12
Bump capybara from 3.1.0 to 3.1.1,12
More work [skip hazardlib][demos],12
I18n: Update translation pt (99%).,12
I18n: Update translation tr (98%).,12
JCR-2555: Improved reusability of the JCA package,12
Merge branch 'maint-18' into maint,12
Auto-update dependencies. [(#2005)](https://github.com/GoogleCloudPlatform/python-docs-samples/issues/2005),12
Add Constraints support,12
"Fix ""pointer is null"" static analyzer warning. NFCI.",12
Related to JIRA PM-149,12
Bump typescript from 3.8.2 to 3.8.3,12
2010-05-06  Michael Snyder  <msnyder@vmware.com>,12
Bump handlebars from 4.1.0 to 4.1.2,12
Updated CHANGES.txt,12
fix clang-tidy,12
JIRA ticket UIMA-45 (https://issues.apache.org/jira/browse/UIMA-45),12
Bump cryptography from 3.1.1 to 3.2,12
2011-06-02  Mario Sanchez Prada  <msanchez@igalia.com>,12
Bump ember-cli-babel from 7.21.0 to 7.22.1,12
Merge branch 'feature/29' of https://github.com/PaulKinlan/WebDocs into feature/29,12
Bump Verify.Xunit from 6.10.3 to 6.10.4,12
matlab,12
Merge branch '2.1.0' of https://github.com/CasparCG/Server into 2.1.0,12
Merge branch 'master' of git.openmole.org:openmole,12
2009-11-16  Eric Seidel  <eric@webkit.org>,12
Bump bootsnap from 1.4.6 to 1.4.7,12
Merge branch 'master' into ui-refresh,12
XAAM-1: XWiki Application format,12
Core/Spells:,12
Merge remote branch 'origin/master' into annotations,12
Bump rubocop-govuk from 2.0.0 to 3.0.0,12
XWIKI-2393: Introduce new Container component (using ThreadLocal variables) to prevent having to pass request/response/session data to all methods,12
Update to the last Rust.,11
Merge branch 'for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/rw/uml,11
calcs/hazard/classical:,11
Bump @vue/cli-plugin-babel in /Rnwood.Smtp4dev/ClientApp,11
Bump isort from 4.3.20 to 4.3.21,11
Bump timecop from 0.9.1 to 0.9.2,11
Bump acorn from 6.2.1 to 6.4.1,11
Merge stella.local:/home2/mydev/mysql-5.0-axmrg into  stella.local:/home2/mydev/mysql-5.1-axmrg,11
Reviewed by Mark Rowe.,11
2004-05-01  Andrew Cagney  <cagney@redhat.com>,11
Merge branch 'idle-release' of git://git.kernel.org/pub/scm/linux/kernel/git/lenb/linux-idle-2.6,11
Merged revisions 1008004 via svnmerge from  https://svn.kde.org/home/kde/branches/kdepim/enterprise/kdepim,11
Update install.sh,11
Bump @typescript-eslint/eslint-plugin from 2.29.0 to 2.30.0,11
I18n: Update translation oc (92%).,11
Merge branch 'master' into stage,11
Merge branch '1.5.2-SNAPSHOT' into 1.6.0-SNAPSHOT,11
"[weblayer, skew tests] Refresh skew tests for M88",11
Ref #1459,11
Manual merge.,11
Bump puma from 3.11.4 to 3.12.0,11
2008-09-18  David Hyatt  <hyatt@apple.com>,11
Bump maven-shade-plugin from 3.2.2 to 3.2.3,11
Bump minitest from 5.14.0 to 5.14.1,11
Merge branch 'master' of ssh://franck.debian.org/srv/ftp.debian.org/git/dak,11
branches/feature/ (antanas@kurmis) Syncing with trunk/. Merge command:,11
strings,11
Bump mini-css-extract-plugin from 0.9.0 to 0.10.0,11
i18n fixes,11
Remove compiler warnings,11
Remove uses of deprecated RegisterDictionaryPref,11
Small fixes.,11
Bump mockito-core from 3.5.2 to 3.5.5,11
Fixed small bug,11
Add NGG support to GS,11
build(deps): [security] bump eslint-utils from 1.3.1 to 1.4.2,11
[flang] Address review comments.,11
Bump Verify.Xunit from 1.0.0-beta.32 to 1.0.0,11
Merge branch '3.0.x',11
Documentation improvements,11
Merge branch 'x86-mm-for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/tip/linux-2.6-tip,11
Remove obsolete comment.,11
Prepare support for GTK+ 3,11
🌐 Translated using Weblate (Spanish),11
Patch to fix spacing between action area and vbox of preferences dialog.,11
chore(deps-dev): bump jest from 26.5.2 to 26.5.3,11
Bump rake from 12.3.3 to 13.0.1,11
Bump webmock from 3.9.1 to 3.9.2,11
Merge branch 'for-linus' of git://git.kernel.org/pub/scm/linux/kernel/git/avi/kvm,11
Bump flake8-bugbear from 20.1.4 to 20.11.1,11
Bump bleach from 3.1.0 to 3.1.1,11
Update unit tests,11
Removing usage of profile_->GetHistory() from the codebase in order to remove that function.,11
Silence byte-compiler,11
Sync with Longhorn Manager,11
Sync Sphinx requirement,11
Bump letter_opener from 1.6.0 to 1.7.0,11
enhanced documentation,11
Bump eslint-plugin-import from 2.17.3 to 2.18.0,11
process-new,11
Bump pylint from 2.5.2 to 2.5.3,11
Bump node-sass from 4.11.0 to 4.12.0,11
2004-10-31  Andrew Cagney  <cagney@gnu.org>,11
Merge branch 'development' into UI/ja/update/projects/samples-refactor-base,11
Fix compiler warning.,11
chore(deps): bump lodash,11
Update Documentation,11
Merge branch 'develop' into 3.0.x,11
Complex command invocation structures #131,11
Bump nokogiri from 1.10.4 to 1.10.8 in /docs,11
Added.,11
I18n: Update translation ca (94%).,11
drm/amdgpu: update golden setting for sienna_cichlid,11
2008-08-15  David Gilbert  <david.gilbert@object-refinery.com>,11
Prepare for using standard python tests,11
Bump autoprefixer from 9.6.4 to 9.6.5,11
Bump webpack-cli from 3.2.3 to 3.3.0,11
Bump react from 16.8.6 to 16.9.0,11
Bump pg from 1.1.2 to 1.1.3,11
Merge branch 'bravenewworldSkeletons' of github.com:scalableminds/webknossos into bravenewworldSkeletons,11
Update update.ps1,11
Bump Verify.Xunit from 8.4.0 to 8.4.1,11
more upgrade work,11
Bump eslint-plugin-prettier from 3.0.1 to 3.1.0,11
OAK-4898 - Allow for external changes to have a CommitInfo attached,11
"Unreviewed, test expectation update.",11
Merge branch 'master' into psr2,11
2011-02-24  James Robinson  <jamesr@chromium.org>,11
2012-03-01  Pedro Alves  <palves@redhat.com>,11
2010-06-28  Xan Lopez  <xlopez@igalia.com>,11
Bump faker from 1.8.7 to 1.9.1,11
Merge branch 'fix/hda' of git://git.kernel.org/pub/scm/linux/kernel/git/tiwai/sound-2.6,11
Update travis.yml,11
Fixes [CLANG],11
Doc,11
Merge tag 'for-linus' of git://github.com/openrisc/linux,11
Bump @babel/core from 7.11.6 to 7.12.0,11
Manually merged,11
bump atc fly go-concourse testflight,11
Merge branch 'django1.9' into django1.10,11
Bump webpack-cli from 3.3.8 to 3.3.9,11
Merge git://git.kernel.org/pub/scm/linux/kernel/git/gregkh/pci-2.6,11
build(deps): [security] bump mixin-deep from 1.3.1 to 1.3.2,11
Bump @babel/core from 7.12.1 to 7.12.3,11
Merge branch 'groovy-1.7' into groovy-1.8,11
Remove explicit distribute depend.,11
Bump Fody from 5.0.5 to 5.0.6,11
Merge remote-tracking branch 'origin/tp30',11
build(deps-dev): bump prettier from 2.2.0 to 2.2.1,11
Bump gds-sso from 14.0.0 to 14.1.0,11
Bump @types/node from 14.0.23 to 14.0.24,11
Bump httpclient from 4.5.11 to 4.5.12,11
BUG: find out why linux fails,11
Fixed cases where tf.TensorShape was constructed with float dimensions,11
Merge branch 'develop' of https://github.com/gmatteo/pymatgen into develop,11
exclude more tests from browser_tests with Dr.Memory TBR=bruening@chromium.org,11
Bump webmock from 3.6.2 to 3.7.1,11
wip: bring back bitratecontroller,11
Bump @babel/core from 7.12.3 to 7.12.9,11
l10n: Updated Polish (pl) translation to 98%,11
Bump minimist from 1.2.0 to 1.2.2,11
Update mpc on AT next,11
        Reviewed by Steve.,11
added basic README files for all components,11
Bump @types/jest from 26.0.3 to 26.0.4,11
wil6210: align to latest auto generated wmi.h,11
SCHEDULING-1514  Create stress and performance tests for scheduler and resource manager,11
Bump govuk_frontend_toolkit from 7.6.0 to 8.0.0,11
Bump webdrivers from 4.1.3 to 4.2.0,11
Bump @typescript-eslint/parser from 2.33.0 to 2.34.0,11
Merge branch 'release/4.x',11
Merge branch 'r8152',11
Translated using Weblate (Afrikaans),11
Merge branch 'java6' into java8,11
Bump uuid from 8.2.0 to 8.3.0,11
Related to JIRA PM-68,11
Fix travis,11
Bump puma from 4.0.0 to 4.0.1,11
Merge branch 'f/qa_improvements',11
Merge branch 'master' of github.com:lipis/flag-icon-css,11
JIRA PM-495,11
Bump sinon from 9.0.3 to 9.1.0,11
Bump mocha from 8.1.1 to 8.1.2,11
Various improvements.,11
2005-09-25  Erik Hjortsberg  <erik@katastrof.nu>,11
Merge remote-tracking branch 'origin/development' into development,11
Some fixes for problems catched in translation review.,11
Updated MapsEngine.php,11
Pontoon: Update Telugu (te) localization of AMO Frontend,11
2005-10-26  Erik Hjortsberg  <erik@katastrof.nu>,11
2009-12-07  Nikolas Zimmermann  <nzimmermann@rim.com>,11
Bump will_paginate from 3.2.1 to 3.3.0,11
Bump eslint-plugin-import from 2.17.2 to 2.17.3,11
Update TestExpectations.,11
